symbol,open,high,low,close,volume,price_change_pct
NIFTY 50,25755.9,25757.65,25579.5,25642.8,343812628,-0.52
TRENT,3973.4,4142.4,3863.0,4132.0,3837832,2.98
MAXHEALTH,1027.35,1046.15,1008.1,1038.0,3842206,1.22
TATASTEEL,193.0,198.41,191.52,197.6,31293689,1.13
JSWSTEEL,1218.6,1241.8,1214.2,1241.0,1198051,1.04
GRASIM,2830.1,2877.3,2825.0,2871.1,762775,0.92
JIOFIN,268.1,271.65,267.5,269.95,15768740,0.73
ONGC,268.0,270.45,266.0,268.65,15268335,0.64
SUNPHARMA,1699.0,1710.0,1684.3,1703.1,3074842,0.57
CIPLA,1335.9,1335.9,1321.0,1332.7,999810,0.45
SBIN,1068.2,1081.0,1067.5,1072.9,9551567,0.44
DRREDDY,1242.0,1253.6,1237.0,1245.0,953241,0.39
BAJAJ-AUTO,9640.0,9679.0,9600.0,9659.5,155663,0.21
ADANIENT,2232.0,2243.7,2210.0,2232.6,992382,0.2
BAJFINANCE,964.0,968.5,953.0,964.65,6020258,0.14
APOLLOHOSP,7116.0,7133.0,7043.0,7125.0,234707,0.13
TMPV,375.0,375.6,364.3,375.6,14013838,0.04
M&M,3592.0,3598.8,3528.1,3575.0,1251428,0.03
NESTLEIND,1304.8,1310.6,1287.0,1303.5,854891,0.02
POWERGRID,291.0,291.0,286.15,289.35,9870342,-0.02
TECHM,1630.1,1659.1,1630.0,1645.0,1720981,-0.02
WIPRO,233.34,235.57,231.7,233.18,10102736,-0.07
ADANIPORTS,1568.0,1577.7,1548.6,1566.5,3285127,-0.09
TATACONSUM,1149.5,1163.6,1145.3,1151.8,1162295,-0.1
KOTAKBANK,411.0,413.95,404.1,411.65,24814864,-0.17
TCS,2990.0,3029.7,2972.3,2991.7,3521545,-0.25
NTPC,369.75,370.7,365.0,366.25,18789794,-0.27
ULTRACEMCO,12762.0,12834.0,12732.0,12770.0,172331,-0.28
MARUTI,15090.0,15150.0,14900.0,15025.0,374759,-0.31
HDFCBANK,956.0,956.05,946.7,949.7,28103169,-0.36
SHRIRAMFIN,995.5,998.0,972.4,994.9,5775866,-0.39
HDFCLIFE,722.4,723.3,712.1,719.0,1268905,-0.48
AXISBANK,1340.0,1340.0,1317.4,1331.6,3766488,-0.53
COALINDIA,437.0,437.8,427.7,432.6,5252658,-0.53
INDIGO,4845.0,4939.9,4780.3,4930.0,1189049,-0.62
HINDUNILVR,2362.5,2423.0,2351.6,2356.0,1962066,-0.63
LT,4088.0,4088.5,4035.9,4060.0,1433240,-0.66
ASIANPAINT,2445.0,2455.8,2402.6,2433.5,1047405,-0.78
SBILIFE,2031.0,2045.3,2005.3,2024.6,925742,-0.84
HCLTECH,1613.7,1631.8,1600.2,1607.4,3184531,-0.89
TITAN,4152.3,4152.3,4063.1,4106.7,693637,-0.9
BAJAJFINSV,2008.1,2021.8,1992.4,2001.0,857399,-0.92
ICICIBANK,1414.0,1414.0,1393.2,1394.6,8982761,-0.98
RELIANCE,1457.0,1461.5,1439.5,1441.9,11763658,-1.02
INFY,1534.0,1551.0,1515.7,1520.0,10628127,-1.03
EICHERMOT,7290.0,7309.5,7176.5,7193.0,254212,-1.16
ITC,313.95,315.35,309.3,310.1,15816704,-1.19
BEL,439.0,439.0,428.15,432.5,14345511,-1.53
BHARTIARTL,2012.0,2022.9,1985.0,1992.2,7708690,-1.66
ETERNAL,291.1,294.85,284.7,287.05,30383252,-2.41
HINDALCO,943.15,943.15,923.7,936.0,4580529,-3.0
NIFTY 100,26351.75,26354.05,26182.8,26248.3,597068236,-0.51
DMART,3849.0,3949.5,3825.1,3930.0,867140,2.76
ADANIENSOL,980.0,1016.5,980.0,1013.0,1770119,2.51
IOC,174.24,177.9,172.42,175.87,34830200,1.79
GODREJCP,1155.0,1173.9,1155.0,1170.5,510890,1.28
ADANIGREEN,954.0,972.0,951.45,966.0,3102511,1.21
JSWENERGY,468.85,474.9,462.85,474.5,1740344,1.21
DIVISLAB,6054.0,6173.0,5936.0,6126.0,370561,1.18
ICICIGI,1843.6,1879.8,1826.8,1875.0,589173,1.13
JINDALSTEL,1159.1,1185.0,1150.2,1179.0,1090941,1.0
PIDILITIND,1464.9,1481.9,1458.5,1472.7,835235,0.85
LICI,835.5,842.0,831.45,840.0,672395,0.56
HAVELLS,1349.8,1352.9,1332.0,1351.1,392787,0.51
CANBK,148.0,149.58,147.57,148.12,16041047,0.42
DLF,660.0,663.25,647.65,661.5,2184966,0.25
SIEMENS,3305.0,3324.6,3250.1,3297.7,205714,0.22
PNB,123.5,124.95,123.17,123.91,10883117,0.21
INDHOTEL,689.4,693.45,681.85,687.55,1307331,0.2
BRITANNIA,5855.0,5946.5,5844.5,5889.5,275290,0.18
RECLTD,382.7,386.5,378.9,381.95,13810435,0.09
PFC,415.7,420.4,405.6,414.75,21560718,0.04
ZYDUSLIFE,909.25,910.0,896.6,905.0,419002,-0.03
BANKBARODA,291.4,293.1,289.05,290.7,4970798,-0.05
CGPOWER,670.95,672.2,656.6,669.0,2521396,-0.09
ABB,5750.0,5840.5,5663.0,5749.0,205411,-0.1
UNITDSPR,1360.0,1366.9,1353.2,1356.0,519049,-0.15
GAIL,161.52,161.6,159.41,160.1,13323350,-0.19
SHREECEM,27460.0,27545.0,27100.0,27270.0,38447,-0.29
BPCL,386.0,391.65,378.35,381.2,8446290,-0.33
TVSMOTOR,3727.4,3739.0,3691.8,3715.0,593814,-0.33
ENRIN,2571.0,2616.2,2557.6,2594.7,194559,-0.38
BAJAJHLDNG,11000.0,11310.0,10816.0,10825.0,211732,-0.59
BAJAJHFL,91.84,91.84,91.15,91.28,2801353,-0.61
LTIM,5700.0,5741.0,5619.5,5670.0,303053,-0.64
HYUNDAI,2189.8,2189.8,2149.1,2174.3,495337,-0.71
AMBUJACEM,536.0,536.95,528.2,532.45,1363472,-0.84
LODHA,1049.0,1051.25,1033.4,1047.3,1164041,-0.87
TORNTPHARM,4029.9,4029.9,3931.8,3984.9,230235,-0.96
CHOLAFIN,1740.0,1745.0,1717.1,1721.6,391219,-0.96
IRFC,116.0,116.5,114.26,114.75,10242128,-1.08
MAZDOCK,2430.4,2430.4,2350.0,2397.1,998660,-1.39
MOTHERSON,121.95,122.42,120.33,120.75,6105921,-1.53
SOLARINDS,13581.0,13680.0,13223.0,13353.0,107492,-1.61
ADANIPOWER,155.29,156.9,151.1,152.75,26958184,-1.64
BOSCHLTD,36710.0,36745.0,36070.0,36100.0,16466,-1.66
NAUKRI,1188.0,1190.0,1151.6,1168.0,1433736,-1.68
VBL,447.45,448.9,436.6,436.95,9354103,-1.79
TATAPOWER,363.0,366.75,360.7,364.25,5457078,-1.96
HAL,4121.0,4125.0,3952.0,4030.0,6343724,-4.44
HINDZINC,600.0,612.7,593.25,610.4,16770606,-4.51
VEDL,660.05,665.3,644.2,655.7,18234038,-4.67
